student_ID,course_ID,semester_ID
1,8,1
1,12,7
1,14,10
2,8,2
2,11,7
2,14,8
2,15,10
2,17,11
2,18,12
3,8,4
3,10,9
3,12,10
3,17,11
3,18,12
4,4,6
4,9,9
4,17,11
4,18,12
5,8,2
5,9,5
5,12,6
5,14,7
5,15,9
5,16,10
5,17,11
5,18,12
6,2,2
6,9,4
6,12,6
6,13,7
6,14,8
6,15,9
6,16,10
6,17,11
6,18,12
7,16,4
7,17,10
8,7,5
8,12,8
8,16,9
8,17,12
9,12,6
9,17,12
10,2,5
10,6,6
10,12,8
10,17,9
10,18,10
11,10,4
11,12,6
11,14,8
11,15,10
11,16,11
11,17,12
12,3,5
12,9,6
12,11,7
12,13,8
12,15,9
12,16,10
12,17,11
12,18,12
13,2,7
13,13,10
13,17,11
13,18,12
14,7,6
14,9,7
14,10,8
14,14,9
14,16,12
15,1,3
15,2,6
15,10,7
15,15,9
15,17,11
15,18,12
16,11,5
16,13,7
16,14,8
16,15,9
16,16,10
16,17,11
16,18,12
17,3,6
17,7,7
17,11,9
17,16,10
17,17,11
17,18,12
18,9,2
18,15,9
18,16,10
18,18,12
19,13,6
19,14,7
19,15,8
19,16,10
19,17,11
19,18,12
20,9,1
20,11,6
20,13,8
20,14,9
20,16,10
20,17,11
20,18,12
21,9,5
21,11,6
21,13,7
21,14,8
21,15,9
21,16,10
21,17,11
21,18,12
22,10,1
22,14,6
22,15,8
22,17,10
23,7,6
23,11,9
23,16,10
23,17,11
23,18,12
24,10,2
24,15,8
24,16,9
24,18,10
25,10,3
25,11,6
25,12,7
25,14,8
25,15,9
25,16,10
25,17,11
25,18,12
26,5,1
26,9,5
26,14,8
26,17,10
26,18,12
27,9,3
27,18,11
28,6,5
28,10,6
28,11,7
28,12,8
28,15,9
28,16,10
28,17,11
28,18,12
29,1,2
29,5,5
29,14,8
29,15,9
29,16,10
29,17,11
29,18,12
30,8,4
30,10,5
30,15,6
30,17,8
30,18,9
31,12,3
31,13,7
31,15,8
31,16,9
31,17,10
31,18,11
32,15,2
32,18,9
33,5,1
33,7,5
33,14,6
33,16,8
33,17,10
33,18,12
34,4,7
34,12,8
34,15,9
34,16,10
34,17,11
34,18,12
35,4,6
35,13,7
35,14,8
35,15,9
35,16,10
35,17,11
35,18,12
36,1,1
36,5,4
36,8,5
36,12,6
36,14,10
36,17,11
36,18,12
37,3,2
37,15,5
37,16,8
37,17,12
38,10,2
38,12,6
38,13,7
38,14,8
38,15,9
38,16,10
38,17,11
38,18,12
39,4,9
39,18,11
40,9,2
40,11,3
40,12,4
40,13,6
40,14,7
40,15,9
40,16,10
40,17,11
40,18,12
41,11,3
41,17,7
41,18,12
42,10,4
42,11,5
42,14,8
42,16,9
42,17,10
42,18,12
43,3,2
43,5,4
43,15,7
43,16,10
43,17,11
43,18,12
44,12,4
44,17,6
44,18,10
45,1,6
45,13,7
45,14,8
45,15,9
45,16,10
45,17,11
45,18,12
46,12,4
46,15,7
46,16,9
46,17,10
47,8,4
47,18,8
48,1,4
48,11,8
48,15,9
48,16,10
48,17,11
48,18,12
49,2,6
49,10,8
49,13,9
49,15,10
49,17,11
49,18,12
50,9,4
50,13,6
50,14,10
50,17,11
50,18,12
51,2,3
51,6,4
51,10,5
51,15,10
51,18,12
52,8,5
52,12,6
52,13,7
52,14,8
52,15,9
52,16,10
52,17,11
52,18,12
53,5,2
53,9,4
53,11,5
53,13,6
53,14,8
53,15,9
53,16,10
53,17,11
53,18,12
54,4,8
54,5,10
54,15,11
54,16,12
55,3,1
55,11,5
55,15,8
55,16,10
55,17,11
55,18,12
56,7,8
56,10,9
56,15,10
56,16,11
56,17,12
57,4,4
57,7,5
57,8,6
57,11,7
57,14,8
57,15,9
57,16,10
57,17,11
57,18,12
58,4,3
58,14,5
58,16,11
58,17,12
59,2,2
59,9,7
59,13,8
59,14,9
59,15,10
59,16,11
59,18,12
60,2,1
60,15,7
60,16,8
60,18,12
61,3,9
61,7,11
61,14,12
62,13,7
62,14,8
62,15,9
62,16,10
62,17,11
62,18,12
63,12,6
63,13,8
63,15,9
63,16,10
63,17,11
63,18,12
64,10,2
64,11,5
64,12,6
64,13,7
64,14,8
64,15,9
64,16,10
64,17,11
64,18,12
65,3,5
65,7,6
65,9,7
65,13,8
65,14,9
65,16,10
65,17,11
65,18,12
66,9,1
66,13,7
66,15,10
66,16,11
67,9,5
67,12,6
67,13,8
67,15,9
67,16,10
67,17,11
67,18,12
68,6,4
68,10,5
68,11,7
68,13,8
68,14,9
68,15,10
68,17,11
68,18,12
69,11,2
69,12,4
69,13,5
69,14,8
69,15,9
69,16,10
69,17,11
69,18,12
70,3,1
70,4,3
70,8,4
70,13,8
70,14,9
70,16,10
70,17,11
70,18,12
71,8,2
71,9,10
71,12,11
72,14,5
72,15,6
72,16,7
72,17,10
72,18,11
73,7,5
73,10,8
73,13,9
73,15,10
73,17,11
73,18,12
74,5,3
74,11,7
74,17,9
75,5,2
75,12,3
75,13,5
75,15,7
75,16,10
75,18,11
76,1,4
76,12,6
76,14,8
76,15,9
76,16,10
76,17,11
76,18,12
77,7,2
77,11,3
77,12,6
77,13,7
77,14,8
77,15,9
77,16,10
77,17,11
77,18,12
78,8,1
78,9,6
78,14,9
78,16,10
78,17,11
78,18,12
79,12,7
79,13,8
79,15,9
79,16,10
79,17,11
79,18,12
80,10,2
80,16,10
80,17,11
80,18,12
81,2,4
81,6,7
81,14,8
81,16,9
81,17,10
81,18,11
82,15,7
82,17,9
82,18,11
83,15,6
83,16,9
84,6,6
84,7,8
84,16,10
84,17,11
84,18,12
85,11,8
85,15,9
85,17,11
85,18,12
86,14,4
86,18,11
87,5,3
87,6,4
87,8,6
87,10,7
87,11,8
87,15,9
87,16,10
87,17,11
87,18,12
88,12,5
88,13,7
88,15,9
88,16,10
88,17,11
88,18,12
89,11,5
89,13,9
89,16,10
89,18,12
90,10,9
90,11,10
90,13,11
90,15,12
91,11,8
91,16,9
91,17,11
91,18,12
92,4,1
92,10,5
92,14,8
92,15,10
92,16,11
92,18,12
93,2,2
93,4,6
93,5,7
93,12,8
93,13,9
93,15,10
93,16,11
93,17,12
94,5,7
94,11,10
94,16,11
94,17,12
95,3,4
95,8,7
95,17,9
95,18,11
96,10,4
96,11,7
96,12,9
97,11,1
97,12,3
97,13,4
97,14,6
97,15,9
97,16,10
97,17,11
97,18,12
98,9,6
98,13,7
98,14,8
98,15,9
98,16,10
98,17,11
98,18,12
99,11,1
