user_ID,seniority,GPA
1,6,1
2,4,1.5
3,2,1.5
4,7,3
5,3,3
6,3,3
7,2,2.5
8,1,2
9,3,1
10,3,3.5
11,4,4
12,6,3.5
13,2,4
14,4,2.5
15,3,3.5
16,3,4
17,3,3
18,2,3
19,4,4
20,2,1
21,4,3
22,7,2.5
23,2,2
24,4,2
25,3,2
26,2,3
27,7,1
28,3,4
29,7,2.5
30,4,4
31,2,1
32,4,3.5
33,2,2
34,5,2
35,3,3
36,4,3
37,4,1
38,2,4
39,2,1.5
40,4,3
41,4,3
42,5,1
43,3,2
44,4,3
45,2,2.5
46,3,2.5
47,3,3
48,1,1
49,1,3
50,1,1.5
51,5,3
52,2,3
53,2,1.5
54,7,1.5
55,7,1
56,2,1
57,2,4
58,2,1
59,4,3
60,3,2
61,3,1
62,5,1.5
63,7,1
64,7,2
65,2,1
66,2,4
67,2,4
68,3,1.5
69,4,3.5
70,4,1
71,2,2
72,3,3
73,4,1
74,7,3.5
75,3,2.5
76,2,4
77,5,1
78,7,1
79,7,3
80,6,3
81,2,3
82,2,1
83,7,2
84,7,1.5
85,3,2
86,2,3
87,7,3.5
88,7,2.5
89,1,1
90,3,2.5
91,4,4
92,2,3
93,2,2.5
94,7,2.5
95,3,2.5
96,3,1.5
97,1,3
98,1,1
99,3,1.5
100,4,4
101,2,3
102,5,4
103,3,3.5
104,3,2
105,7,1
106,2,3.5
107,4,2.5
108,2,3
109,5,2
110,3,1.5
111,3,1.5
112,1,3.5
113,2,3.5
114,5,4
115,4,2.5
116,3,2
117,3,1.5
118,4,1.5
119,3,4
120,2,1
121,5,2
122,4,2.5
123,5,1.5
124,5,3
125,7,1
126,6,3.5
127,2,3.5
128,2,1
129,3,4
130,4,2.5
131,2,1.5
132,3,2
133,3,3.5
134,2,1.5
135,3,3.5
136,6,4
137,3,2.5
138,1,1
139,3,3
140,3,3
141,2,1.5
142,2,3.5
143,2,4
144,4,3
145,1,1.5
146,4,1
147,3,2
148,3,4
149,4,1.5
150,3,4
151,6,2.5
152,7,3
153,2,1
154,2,4
155,1,3.5
156,5,2.5
157,6,1.5
158,3,3
159,7,3
160,2,3.5
161,1,3.5
162,7,3
163,3,1.5
164,7,1.5
165,2,2
166,2,2
167,7,1
168,3,1.5
169,3,3.5
170,5,4
171,2,2
172,4,3
173,6,3
174,5,1
175,2,4
176,1,4
177,5,3.5
178,7,2.5
179,2,4
180,4,3
181,3,3.5
182,4,3.5
183,3,3
184,3,4
185,7,1.5
186,7,3.5
187,3,2.5
188,3,2
189,2,2.5
190,3,2
191,4,2.5
192,2,1.5
193,6,3.5
194,5,3.5
195,4,2.5
196,3,3
197,3,4
198,2,3
199,1,4
200,2,2
201,5,4
202,7,2.5
203,2,2
204,2,2.5
205,6,1
206,2,4
207,3,2
208,3,3
209,2,4
210,3,1.5
211,3,1.5
212,3,2.5
213,3,1.5
214,1,3
215,4,3.5
216,2,3.5
217,6,2.5
218,7,4
219,5,3.5
220,1,2.5
221,2,2.5
222,7,1.5
223,4,1
224,2,4
225,7,4
226,2,3.5
227,4,1
228,3,3.5
229,4,2.5
230,2,1.5
231,2,3
232,2,4
233,3,2
234,3,2.5
235,2,4
236,2,1
237,4,2
238,2,3
239,3,3
240,3,2.5
241,5,3
242,3,1.5
243,1,2
244,1,4
245,1,4
246,6,2.5
247,6,2
248,3,1
249,2,2
250,6,1.5
251,3,2
252,3,3
253,4,3
254,4,3
255,1,1
256,4,1
257,7,4
258,5,1.5
259,6,1.5
260,2,1.5
261,2,2
262,7,1.5
263,2,4
264,2,3.5
265,1,3
266,5,2
267,3,4
268,4,2
269,7,3
270,7,3.5
271,6,3
272,3,3.5
