dept_ID,dept_code,dept_name
1,HIS,History & Sociology
2,IA,International Affairs
3,LMC,"Literature, Media & Communication"
4,LANG,Modern Languages
5,POL,Public Policy
6,AP,Applied Physiology
7,BIO,Biology
8,CHEM,Chemistry & Biochemistry
9,EAS,Earth & Atmospheric Sciences
10,PHY,Physics
11,PSY,Psychology
12,AE,Aerospace Engineering
13,BE,Biomedical Engineering
14,CBE,Chemical & Biomolecular Engineering
15,CEE,Civil & Environmental Engineering
16,ISE,Industrial & Systems Engineering
17,MSE,Materials Science & Engineering
18,ME,Mechanical Engineering
19,ECON,Economics
20,ARCH,Architecture
21,BC,Building Construction
22,BA,Business
23,CRP,City Planning
24,ID,Industrial Design
25,MUS,Music
26,ECE,Electrical & Computer Engineering
27,HCI,Interactive Computing
28,MA,Mathematics
29,CSE,Computational Science & Engineering
30,CS,Computer Science
